,Opening,Opening.1,Title,Production company,Cast and crew,Ref.,Unnamed: 6
124,JUNE,15,Incredibles 2,Walt Disney Pictures / Pixar Animation Studios,"Brad Bird (director/screenplay); Craig T. Nelson, Holly Hunter, Sarah Vowell, Huckleberry Milner, Samuel L. Jackson, Bob Odenkirk, Catherine Keener, Jonathan Banks",[123],
125,JUNE,15,Tag,Warner Bros. Pictures / New Line Cinema,"Jeff Tomsic (director); Rob McKittrick, Mark Steilen (screenplay); Ed Helms, Jeremy Renner, Jon Hamm, Jake Johnson, Hannibal Buress, Annabelle Wallis, Isla Fisher, Rashida Jones, Leslie Bibb",[124],
126,JUNE,15,On Chesil Beach,Bleecker Street,"Dominic Cooke (director); Ian McEwan (screenplay); Saoirse Ronan, Billy Howle, Emily Watson, Anne-Marie Duff, Samuel West, Adrian Scarborough",[35],
127,JUNE,15,Gotti,Vertical Entertainment,"Kevin Connolly (director); Lem Dobbs, Leo Rossi (screenplay); John Travolta, Kelly Preston, Stacy Keach, Pruitt Taylor Vince, Spencer Lofranco, William DeMeo, Leo Rossi, Victor Gojcaj",[125],
128,JUNE,22,Jurassic World: Fallen Kingdom,Universal Pictures / Amblin Entertainment / Legendary Pictures,"J.A. Bayona (director); Derek Connolly, Colin Trevorrow (screenplay); Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith, Daniella Pineda, James Cromwell, Toby Jones, Ted Levine, B. D. Wong, Isabella Sermon, Geraldine Chaplin, Jeff Goldblum",[126],
129,JUNE,22,Boundaries,Sony Pictures Classics,"Shana Feste (director/screenplay); Vera Farmiga, Christopher Plummer, Lewis MacDougall, Bobby Cannavale, Kristen Schaal",[127],
130,JUNE,22,Damsel,Magnolia Pictures,"David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska",[128],
131,JUNE,28,The Domestics,Orion Classics,"Mike P. Nelson (director/screenplay); Tyler Hoechlin, Kate Bosworth, Lance Reddick, Sonoya Mizuno, Dana Gourrier, Thomas Francis Murray, David Dastmalchian",[129],
132,JUNE,29,Sicario: Day of the Soldado,Columbia Pictures / Black Label Media / Thunder Road Pictures,"Stefano Sollima (director); Taylor Sheridan (screenplay); Benicio del Toro, Josh Brolin, Isabela Moner, Jeffrey Donovan, Manuel Garcia-Rulfo, Catherine Keener",[130],
133,JUNE,29,Leave No Trace,Bleecker Street,"Debra Granik (director/screenplay); Anne Rosellini (screenplay); Ben Foster, Thomasin McKenzie, Jeff Kober, Dale Dickey",[131],
134,JUNE,29,Uncle Drew,Summit Entertainment,"Charles Stone III (director); Jay Longino (screenplay); Kyrie Irving, Lil Rel Howery, Shaquille O'Neal, Reggie Miller, Nate Robinson, Chris Webber, Erica Ash, Lisa Leslie, Nick Kroll, Tiffany Haddish",[132],
135,JUNE,29,Woman Walks Ahead,A24,"Susanna White (director); Steven Knight (screenplay); Jessica Chastain, Michael Greyeyes, Chaske Spencer, Sam Rockwell",[133],
136,JULY,4,The First Purge,Universal Pictures / Blumhouse Productions / Platinum Dunes,"Gerard McMurray (director); James DeMonaco (screenplay); Y'lan Noel, Lex Scott Davis, Joivan Wade, Luna Lauren Velez, Marisa Tomei",[134],
137,JULY,6,Ant-Man and the Wasp,Marvel Studios,"Peyton Reed (director); Chris McKenna, Erik Sommers, Paul Rudd, Andrew Barrer, Gabriel Ferrari (screenplay); Paul Rudd, Evangeline Lilly, Michael Peña, Michael Douglas, Michelle Pfeiffer, Walton Goggins, Hannah John-Kamen, Bobby Cannavale, Judy Greer, Tip ""T.I."" Harris, David Dastmalchian, Abby Ryder Fortson, Randall Park, Laurence Fishburne",[135],
138,JULY,6,Sorry to Bother You,Annapurna Pictures,"Boots Riley (director/screenplay); Lakeith Stanfield, Tessa Thompson, Armie Hammer, Steven Yeun, Jermaine Fowler, Omari Hardwick, Terry Crews, Danny Glover, Patton Oswalt, David Cross",[136],
139,JULY,6,Whitney,Roadside Attractions / Miramax,Kevin MacDonald (director/screenplay); Whitney Houston,[137],
140,JULY,13,Hotel Transylvania 3: Summer Vacation,Columbia Pictures / Sony Pictures Animation,"Genndy Tartakovsky (director/screenplay); Michael McCullers (screenplay); Adam Sandler, Andy Samberg, Selena Gomez, Kevin James, Fran Drescher, Steve Buscemi, Molly Shannon, David Spade, Keegan-Michael Key, Jim Gaffigan, Kathryn Hahn, Mel Brooks",[138],
141,JULY,13,Skyscraper,Universal Pictures / Legendary Pictures,"Rawson Marshall Thurber (director/screenplay); Dwayne Johnson, Neve Campbell, Chin Han, Roland Møller, Pablo Schreiber, Byron Mann, Hannah Quinlivan, Noah Taylor",[139],
142,JULY,13,Eighth Grade,A24,"Bo Burnham (director/screenplay); Elsie Fisher, Josh Hamilton, Emily Robinson, Missy Yager",[140],
143,JULY,13,"Don't Worry, He Won't Get Far on Foot",Amazon Studios,"Gus Van Sant (director/screenplay); Joaquin Phoenix, Rooney Mara, Jonah Hill, Jack Black",[141],
144,JULY,13,Shock and Awe,Vertical Entertainment,"Rob Reiner (director); Joey Hartstone (screenplay); Woody Harrelson, Tommy Lee Jones, James Marsden, Milla Jovovich, Jessica Biel, Richard Schiff, Al Sapienza",[142],
145,JULY,20,Mamma Mia! Here We Go Again,Universal Pictures / Legendary Pictures / Perfect World Pictures,"Ol Parker (director/screenplay); Lily James, Amanda Seyfried, Pierce Brosnan, Colin Firth, Stellan Skarsgård, Julie Walters, Christine Baranski, Dominic Cooper, Cher, Andy García, Meryl Streep",[143],
146,JULY,20,The Equalizer 2,Columbia Pictures / Escape Artists,"Antoine Fuqua (director); Richard Wenk (screenplay); Denzel Washington, Ashton Sanders, Pedro Pascal, Melissa Leo, Bill Pullman",[144],
147,JULY,20,Blindspotting,Summit Entertainment / Codeblack Films,"Carlos López Estrada (director); Daveed Diggs, Rafael Casal (screenplay); Janina Gavankar, Ethan Embry, Daveed Diggs, Rafael Casal, Wayne Knight",[145],
148,JULY,20,Unfriended: Dark Web,BH Tilt,"Stephen Susco (director/screenplay); Colin Woodell, Rebecca Rittenhouse, Betty Gabriel, Andrew Lees, Connor Del Rio, Stephanie Nogueras, Savira Windyani",[146],
149,JULY,20,Bleach,Warner Bros. Pictures,"Shinsuke Sato (director); Sota Fukushi, Hana Sugisaki",[147],
150,JULY,20,Gauguin – Voyage de Tahiti,Cohen Media Group,"Édouard Deluc (director/screenplay); Étienne Comar (screenplay); Vincent Cassel, Tuheï Adams, Malik Zidi",[148],
151,JULY,27,Mission: Impossible – Fallout,Paramount Pictures / Skydance Media / Bad Robot Productions,"Christopher McQuarrie (director/screenplay); Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg, Rebecca Ferguson, Sean Harris, Angela Bassett, Michelle Monaghan, Alec Baldwin",[149],
152,JULY,27,Teen Titans Go! To the Movies,Warner Bros. Pictures / Warner Bros. Animation / DC Entertainment,"Peter Rida Michail (director); Aaron Horvath (co-director/screenplay); Michael Jelenic (screenplay); Scott Menville, Khary Payton, Tara Strong, Greg Cipes, Hynden Walch, Will Arnett, Kristen Bell",[150],
153,JULY,27,Detective Dee: The Four Heavenly Kings,Huayi Brothers,"Tsui Hark (director), Chang Chia-lu, Chen Kuo-Fu (screenplay), Mark Chao, Feng Shaofeng, Lin Gengxin, Carina Lau, Ethan Juan, Sandra Ma",[151],
154,JULY,27,Hot Summer Nights,A24,"Elijah Bynum (director/screenplay); Timothée Chalamet, Maika Monroe, Alex Roe, Maia Mitchell",[152],
155,JULY,27,Puzzle,Sony Pictures Classics,"Marc Turtletaub (director); Oren Moverman (screenplay); Kelly Macdonald, Irrfan Khan, David Denman, Bubba Weiler, Austin Abrams, Liv Hewson",[153],
156,AUGUST,3,Christopher Robin,Walt Disney Pictures,"Marc Forster (director); Tom McCarthy, Alex Ross Perry, Allison Schroeder (screenplay); Ewan McGregor, Hayley Atwell, Jim Cummings, Brad Garrett, Nick Mohammed, Peter Capaldi, Sophie Okonedo, Toby Jones",[154],
157,AUGUST,3,The Darkest Minds,20th Century Fox / 21 Laps Entertainment,"Jennifer Yuh Nelson (director); Chad Hodge (screenplay); Amandla Stenberg, Mandy Moore, Harris Dickinson, Gwendoline Christie",[155],
158,AUGUST,3,The Spy Who Dumped Me,Lionsgate / Imagine Entertainment,"Susanna Fogel (director/screenplay); David Iserson (screenplay); Mila Kunis, Kate McKinnon, Justin Theroux, Sam Heughan, Gillian Anderson",[156],
159,AUGUST,3,The Miseducation of Cameron Post,FilmRise,"Desiree Akhavan (director); Desiree Akhavan, Cecilia Frugiuele (screenplay); Chloë Grace Moretz, Sasha Lane, John Gallagher, Jr., Forrest Goodluck, Jennifer Ehle",[157],
160,AUGUST,3,Never Goin' Back,A24,"Augustine Frizzell (director/screenplay); Maia Mitchell, Camila Morrone, Kyle Mooney, Joel Allen, Kendal Smith, Matthew Holcomb",[158],
161,AUGUST,8,Dog Days,LD Entertainment,"Ken Marino (director); Elissa Matsueda, Erica Oyama (screenplay); Nina Dobrev, Finn Wolfhard, Vanessa Hudgens, Adam Pally, Eva Longoria",[159],
162,AUGUST,10,The Meg,Warner Bros. Pictures,"Jon Turteltaub (director); Dean Georgaris, Jon Hoeber, Erich Hoeber (screenplay); Jason Statham, Li Bingbing, Rainn Wilson, Ruby Rose, Winston Chao, Cliff Curtis",[160],
163,AUGUST,10,BlacKkKlansman,Focus Features / Legendary Pictures / Perfect World Pictures,"Spike Lee (director); Spike Lee, David Rabinowitz, Charlie Wachtel, Kevin Willmott (screenplay); John David Washington, Adam Driver, Laura Harrier, Topher Grace",[161],
164,AUGUST,10,Slender Man,Screen Gems,"Sylvain White (director); David Birke (screenplay); Joey King, Julia Goldani Telles, Jaz Sinclair, Annalise Basso, Javier Botet",[162],
165,AUGUST,10,A Prayer Before Dawn,A24,"Jean-Stéphane Sauvaire (director); Jonathan Hirschbein, Nick Saltrese (screenplay); Joe Cole",[163],
166,AUGUST,15,Crazy Rich Asians,Warner Bros. Pictures,"Jon M. Chu (director); Peter Chiarelli, Adele Lim (screenplay); Constance Wu, Henry Golding, Gemma Chan, Awkwafina, Lisa Lu, Ken Jeong, Michelle Yeoh",[164],
167,AUGUST,17,Alpha,Columbia Pictures,"Albert Hughes (director); Dan Wiedenhaupt (screenplay); Kodi Smit-McPhee, Leonor Varela, Jens Hultén",[165],
168,AUGUST,17,Mile 22,STX Entertainment,"Peter Berg (director); Graham Roland, Lea Carpenter (screenplay); Mark Wahlberg, John Malkovich, Lauren Cohan, Iko Uwais, Ronda Rousey",[166],
169,AUGUST,17,The Wife,Sony Pictures Classics,"Björn Runge (director); Jane Anderson (screenplay); Glenn Close, Jonathan Pryce, Christian Slater, Max Irons, Annie Starke, Harry Lloyd, Elizabeth McGovern",[167],
170,AUGUST,17,Billionaire Boys Club,Vertical Entertainment,"James Cox (director); James Cox, Captain Mauzner (screenplay); Ansel Elgort, Taron Egerton, Kevin Spacey, Jeremy Irvine, Cary Elwes, Emma Roberts, Billie Lourd, Suki Waterhouse, Judd Nelson",[168],
171,AUGUST,17,"Juliet, Naked",Lionsgate / Roadside Attractions,"Jesse Peretz (director); Tamara Jenkins, Phil Alden Robinson, Jim Taylor (screenplay); Ethan Hawke, Rose Byrne",[169],
172,AUGUST,17,Down a Dark Hall,Lionsgate Premiere,"Rodrigo Cortés (director); Michael Goldbach, Chris Sparling (screenplay); AnnaSophia Robb, Uma Thurman, Isabelle Fuhrman, Kirsty Mitchell, Taylor Russell, Jim Sturgeon, Victoria Moroles",[170],
173,AUGUST,24,The Happytime Murders,STX Entertainment / Henson Alternative / On the Day Productions,"Brian Henson (director); Todd Berger (screenplay); Melissa McCarthy, Maya Rudolph, Joel McHale, Elizabeth Banks",[171],
174,AUGUST,24,Searching,Screen Gems / Stage 6 Films,"Aneesh Chaganty (director/screenplay); Sev Ohanian (screenplay); John Cho, Debra Messing",[172],
175,AUGUST,24,Papillon,Bleecker Street,"Michael Noer (director); Aaron Guzikowski (screenplay); Charlie Hunnam, Rami Malek",[173],
176,AUGUST,24,A.X.L.,Global Road Entertainment,"Oliver Daly (director/screenplay); Alex Neustaedter, Becky G, Alex MacNicoll, Thomas Jane, Lou Taylor Pucci, Patricia de Leon",[174],
177,AUGUST,29,Operation Finale,Metro-Goldwyn-Mayer,"Chris Weitz (director); Matthew Orton (screenplay); Oscar Isaac, Ben Kingsley, Lior Raz, Mélanie Laurent, Nick Kroll, Joe Alwyn",[175],
178,AUGUST,31,Kin,Summit Entertainment,"Jonathan Baker, Josh Baker (director/screenplay); Daniel Casey (screenplay); Myles Truitt, Jack Reynor, Zoë Kravitz, Carrie Coon, Dennis Quaid, James Franco",[176],
179,AUGUST,31,The Little Stranger,Focus Features,"Lenny Abrahamson (director); Lucinda Coxon (screenplay); Domhnall Gleeson, Ruth Wilson, Will Poulter, Charlotte Rampling, Alison Pargeter",[177],
180,AUGUST,31,Destination Wedding,Regatta,"Victor Levin (director/screenplay); Winona Ryder, Keanu Reeves",[178],
181,SEPTEMBER,7,The Nun,Warner Bros. Pictures / New Line Cinema,"Corin Hardy (director); Gary Dauberman (screenplay); Demián Bichir, Taissa Farmiga, Jonas Bloquet, Charlotte Hope, Ingrid Bisu, Bonnie Aarons",[179],
182,SEPTEMBER,7,Peppermint,STX Entertainment / Lakeshore Entertainment,"Pierre Morel (director); Chad St. John (screenplay); Jennifer Garner, John Ortiz, Juan Pablo Raba, John Gallagher Jr., Annie Ilonzeh, Richard Cabral",[180],
183,SEPTEMBER,14,The Predator,20th Century Fox / TSG Entertainment,"Shane Black (director/screenplay); Fred Dekker (screenplay); Boyd Holbrook, Trevante Rhodes, Jacob Tremblay, Keegan-Michael Key, Olivia Munn, Thomas Jane, Alfie Allen, Sterling K. Brown",[181],
184,SEPTEMBER,14,White Boy Rick,Columbia Pictures,"Yann Demange (director); Logan Miller, Steve Kloves, Noah Miller, Andy Weiss (screenplay); Matthew McConaughey, Richie Merritt, Bel Powley, Jennifer Jason Leigh, Brian Tyree Henry, Rory Cochrane, RJ Cyler, Jonathan Majors, Eddie Marsan, Bruce Dern, Piper Laurie",[165],
185,SEPTEMBER,14,A Simple Favor,Lionsgate,"Paul Feig (director/screenplay); Jessica Sharzer (screenplay); Anna Kendrick, Blake Lively, Henry Golding, Andrew Rannells",[182],
186,SEPTEMBER,14,The Children Act,A24,"Richard Eyre (director); Ian McEwan (screenplay); Emma Thompson, Stanley Tucci, Fionn Whitehead",[183],
187,SEPTEMBER,14,Lizzie,Saban Films / Roadside Attractions,"Craig William Macneill (director); Bryce Kass (screenplay); Chloë Sevigny, Kristen Stewart, Jay Huguley, Fiona Shaw, Jamey Sheridan, Kim Dickens, Denis O'Hare, Jeff Perry",[184],
188,SEPTEMBER,14,Unbroken: Path to Redemption,Pure Flix,"Harold Cronk (director); Richard Friedenberg, Ken Hixon (screenplay); Samuel Hunt, Merritt Patterson, Vanessa Bell Calloway, Bobby Campo, David DeLuise, David Sakurai, WIll Graham",[185],
189,SEPTEMBER,21,The House with a Clock in Its Walls,Universal Pictures / Amblin Entertainment,"Eli Roth (director); Eric Kripke (screenplay); Jack Black, Cate Blanchett, Owen Vaccaro, Kyle MacLachlan, Renée Elise Goldsberry, Sunny Suljic, Vanessa Anne Williams, Colleen Camp",[186],
190,SEPTEMBER,21,Life Itself,Amazon Studios / Temple Hill Entertainment,"Dan Fogelman (director/screenplay); Oscar Isaac, Olivia Wilde, Mandy Patinkin, Olivia Cooke, Laia Costa, Annette Bening, Antonio Banderas",[187],
191,SEPTEMBER,21,The Sisters Brothers,Annapurna Pictures,"Jacques Audiard (director); Jacques Audiard, Thomas Bidegain (screenplay); John C. Reilly, Joaquin Phoenix, Jake Gyllenhaal, Riz Ahmed",[188],
192,SEPTEMBER,21,Assassination Nation,Neon,"Sam Levinson (director/screenplay); Odessa Young, Suki Waterhouse, Hari Nef, Abra, Bella Thorne, Bill Skarsgård, Cody Christian, Joel McHale, Maude Apatow, Colman Domingo, Anika Noni Rose",[189],
193,SEPTEMBER,21,Colette,Bleecker Street,"Wash Westmoreland (director/screenplay); Richard Glatzer (screenplay); Keira Knightley, Dominic West",[190],
194,SEPTEMBER,21,Fahrenheit 11/9,Briarcliff / State Run Films,Michael Moore (director/screenplay),[191],
195,SEPTEMBER,21,My Son,Cohen Media Group,"Christian Carion (director/screenplay); Guillaume Canet, Melanie Laurent",[192],
196,SEPTEMBER,21,"Love, Gilda",Magnolia Pictures / Motto Pictures / 3 Faces Films,Lisa Dapolito (director); Gilda Radner,[193],
197,SEPTEMBER,25,My Hero Academia: Two Heroes,Toho / Bones,"Kenji Nagasaki (director); Yōsuke Kuroda (screenplay); Justin Briner, Christopher R. Sabat, Clifford Chapin, Luci Christian, J. Michael Tatum, David Matranga",[194],
198,SEPTEMBER,28,Smallfoot,Warner Bros. Pictures / Warner Animation Group,"Karey Kirkpatrick (director/screenplay); Clare Sera (screenplay); Channing Tatum, James Corden, Zendaya, Common, LeBron James, Gina Rodriguez, Danny DeVito, Yara Shahidi, Ely Henry, Jimmy Tatro",[195],
199,SEPTEMBER,28,Night School,Universal Pictures / Will Packer Productions,"Malcolm D. Lee (director); Kevin Hart, Harry Ratchford, Joey Wells, Matt Kellard, Nicholas Stoller (screenplay); Kevin Hart, Tiffany Haddish, Rob Riggle, Romany Malco",[196],
200,SEPTEMBER,28,The Old Man & the Gun,Fox Searchlight Pictures,"David Lowery (director/screenplay); Robert Redford, Casey Affleck, Danny Glover, Tika Sumpter, Tom Waits, Sissy Spacek",[197],
201,SEPTEMBER,28,Hell Fest,Lionsgate / CBS Films,"Gregory Plotkin (director); William Penick, Chris Sey (screenplay); Bex Taylor-Klaus, Amy Forsyth, Reign Edwards, Christian James, Matt Mercurio, Roby Attal",[198],
202,OCTOBER,2,Power of the Air,Five & Two Pictures,"Dave Christiano (director/screenplay); Nicholas X. Parsons, Patty Duke, Michael Gross, Tracy Goode, Karyn Williams, Wendell Kinney, Veryl Jones",[199],
203,OCTOBER,5,Venom,Columbia Pictures / Marvel Entertainment,"Ruben Fleischer (director); Jeff Pinkner, Scott Rosenberg, Kelly Marcel (screenplay); Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze, Reid Scott, Jenny Slate",[200],
204,OCTOBER,5,A Star Is Born,Warner Bros. Pictures,"Bradley Cooper (director/screenplay); Eric Roth, Will Fetters (screenplay); Bradley Cooper, Lady Gaga, Sam Elliott, Dave Chappelle, Andrew Dice Clay, Anthony Ramos, Rafi Gavron, Greg Grunberg",[201],
205,OCTOBER,5,The Hate U Give,20th Century Fox / Fox 2000 Pictures,"George Tillman Jr. (director); Audrey Wells (screenplay); Amandla Stenberg, Regina Hall, Russell Hornsby, KJ Apa, Algee Smith, Lamar Johnson, Issa Rae, Sabrina Carpenter, Common, Anthony Mackie",[202],
206,OCTOBER,10,The Happy Prince,Sony Pictures Classics,"Rupert Everett (director/screenplay); Rupert Everett, Colin Firth, Colin Morgan, Emily Watson",[203],
207,OCTOBER,12,First Man,Universal Pictures / DreamWorks Pictures / Amblin Entertainment,"Damien Chazelle (director); Josh Singer (screenplay); Ryan Gosling, Claire Foy, Jason Clarke, Kyle Chandler, Corey Stoll, Ciaran Hinds, Christopher Abbott, Patrick Fugit, Lukas Haas",[204],
208,OCTOBER,12,Bad Times at the El Royale,20th Century Fox,"Drew Goddard (director/screenplay); Jeff Bridges, Cynthia Erivo, Dakota Johnson, Jon Hamm, Cailee Spaeny, Lewis Pullman, Nick Offerman, Chris Hemsworth",[205],
209,OCTOBER,12,Goosebumps 2: Haunted Halloween,Columbia Pictures / Sony Pictures Animation / Original Film,"Ari Sandel (director); Rob Lieber (screenplay); Wendi McLendon-Covey, Madison Iseman, Jeremy Ray Taylor, Caleel Harris, Chris Parnell, Ken Jeong, Jack Black",[206],
210,OCTOBER,12,Beautiful Boy,Amazon Studios / Plan B Entertainment,"Felix van Groeningen (director/screenplay); Luke Davies (screenplay); Steve Carell, Timothée Chalamet, Maura Tierney, Amy Ryan",[207],
211,OCTOBER,12,The Oath,Roadside Attractions,"Ike Barinholtz (director/screenplay); Ike Barinholtz, Tiffany Haddish, Nora Dunn, Chris Ellis, Jon Barinholtz, Meredith Hagner, Carrie Brownstein, Billy Magnussen, John Cho",[208],
212,OCTOBER,12,Gosnell: The Trial of America's Biggest Serial Killer,Hat Tip Films / GVN Releasing,"Nick Searcy (director); Earl Billings, Dean Cain, Sarah Jane Morris, Michael Beach",[209],
213,OCTOBER,19,Halloween,Universal Pictures / Miramax / Blumhouse Productions,"David Gordon Green (director/screenplay); Jeff Fradley, Danny McBride (screenplay); Jamie Lee Curtis, Judy Greer, Andi Matichak, Will Patton, Virginia Gardner",[210],
214,OCTOBER,19,Can You Ever Forgive Me?,Fox Searchlight Pictures,"Marielle Heller (director); Nicole Holofcener, Jeff Whitty (screenplay); Melissa McCarthy, Richard E. Grant",[211],
215,OCTOBER,19,Mid90s,A24,"Jonah Hill (director/screenplay); Sunny Suljic, Lucas Hedges, Katherine Waterston",[212],
216,OCTOBER,19,Wildlife,IFC Films / June Pictures,"Paul Dano (director/screenplay); Zoe Kazan (screenplay); Carey Mulligan, Jake Gyllenhaal, Ed Oxenbould, Bill Camp",[213],
217,OCTOBER,19,What They Had,Bleecker Street,"Elizabeth Chomko (director/screenplay); Hilary Swank, Michael Shannon, Robert Forster, Blythe Danner, Taissa Farmiga, Josh Lucas",[214],
218,OCTOBER,26,Hunter Killer,Summit Entertainment / Original Film,"Donovan Marsh (director); Arne Schmidt, Jamie Moss (screenplay); Gerard Butler, Gary Oldman, Common, Toby Stephens, Linda Cardellini, David Gyasi, Gabriel Chavarria, Zane Holtz, Michael Nyqvist",[215],
219,OCTOBER,26,Johnny English Strikes Again,Universal Pictures / StudioCanal / Working Title Films,"David Kerr (director); William Davies (screenplay); Rowan Atkinson, Olga Kurylenko, Ben Miller",[216],
220,OCTOBER,26,Suspiria,Amazon Studios,"Luca Guadagnino (director); David Kajganich (screenplay); Dakota Johnson, Tilda Swinton, Mia Goth, Angela Winkler, Ingrid Caven, Sylvie Testud, Jessica Harper, Chloë Grace Moretz",[217],
221,OCTOBER,26,Indivisible,Pure Flix,"David G. Evans (director/screenplay); Cheryl McKay (screenplay); Sarah Drew, Justin Bruening, Jason George, Madeline Carroll, Tanner Stine, Michael O'Neill, Tia Mowry, Eric Close",[218],
222,OCTOBER,26,Bullitt County,Mr. Pictures,"David McCracken (director/screenplay); Mike C. Nelson, Jenni Melear, David McCracken, Napoleon Ryan, Richard Riehle, Dorothy Lyman",[219],
223,NOVEMBER,2,Bohemian Rhapsody,20th Century Fox / Regency Enterprises / GK Films,"Bryan Singer (director); Anthony McCarten (screenplay); Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy, Joseph Mazzello, Aidan Gillen, Allen Leech, Tom Hollander, Mike Myers",[220],
224,NOVEMBER,2,The Nutcracker and the Four Realms,Walt Disney Pictures,"Lasse Hallström, Joe Johnston (director); Ashleigh Powell (screenplay); Keira Knightley, Mackenzie Foy, Eugenio Derbez, Matthew Macfadyen, Richard E. Grant, Misty Copeland, Helen Mirren, Morgan Freeman",[221],
225,NOVEMBER,2,Nobody's Fool,Paramount Players / Tyler Perry Studios,"Tyler Perry (director/screenplay); Tiffany Haddish, Tika Sumpter, Omari Hardwick, Mehcad Brooks, Amber Riley, Whoopi Goldberg",[222],
226,NOVEMBER,2,Boy Erased,Focus Features / Perfect World Pictures,"Joel Edgerton (director/screenplay); Lucas Hedges, Nicole Kidman, Russell Crowe, Joel Edgerton, Joe Alwyn, Xavier Dolan, Troye Sivan, Cherry Jones, Flea",[223],
227,NOVEMBER,2,A Private War,Aviron Pictures,"Matthew Heineman (director); Arash Amel (screenplay); Rosamund Pike, Jamie Dornan, Stanley Tucci, Tom Hollander",[224],
228,NOVEMBER,2,Bodied,Neon / YouTube Premium,"Joseph Kahn (director); Alex Larsen (screenplay); Calum Worthy, Jackie Long, Rory Uphold, Dumbfoundead, Walter Perez, Anthony Michael Hall",[225],
229,NOVEMBER,6,The Front Runner,Columbia Pictures,"Jason Reitman (director); Matt Bai, Jason Reitman, Jay Carson (screenplay); Hugh Jackman, Vera Farmiga, J. K. Simmons, Alfred Molina",[226],
230,NOVEMBER,9,The Grinch,Universal Pictures / Illumination,"Yarrow Cheney, Scott Mosier (directors); Matthew O'Callaghan (co-director); Michael LeSieur, Tommy Swerdlow (screenplay); Benedict Cumberbatch, Rashida Jones, Kenan Thompson, Cameron Seely, Angela Lansbury, Pharrell Williams",[227],
231,NOVEMBER,9,The Girl in the Spider's Web,Columbia Pictures / Metro-Goldwyn-Mayer / Regency Enterprises,"Fede Alvarez (director/screenplay); Steven Knight, Jay Basu (screenplay); Claire Foy, Sverrir Gudnason, Lakeith Stanfield, Sylvia Hoeks, Stephen Merchant",[162],
232,NOVEMBER,9,Overlord,Paramount Pictures / Bad Robot Productions,"Julius Avery (director); Billy Ray, Mark L. Smith (screenplay); Jovan Adepo, Wyatt Russell, Mathilde Ollivier, John Magaro, Gianny Taufer, Pilou Asbæk, Bokeem Woodbine",[228],
233,NOVEMBER,9,The Ballad of Buster Scruggs,Netflix / Annapurna Pictures,"Joel and Ethan Coen (directors/screenplay); Tim Blake Nelson, Zoe Kazan, Liam Neeson, Tom Waits",[229],
234,NOVEMBER,13,Lazer Team 2,Rooster Teeth,"Daniel Fabelo & Matt Hullum (director); Daniel Fabelo, Matt Hullum & Burnie Burns (screenplay); Gavin Free, Michael Jones, Burnie Burns, Colton Dunn, Nichole Bloom, Allie DeBerry",[230],
235,NOVEMBER,13,The Marine 6: Close Quarters,WWE Studios / Sony Pictures Home Entertainment,"James Nunn (director); Craig Walendziak (screenplay); Chuck Norris (edited); Mike ""The Miz"" Mizanin, Shawn Michaels, Becky Lynch",,
236,NOVEMBER,15,Conundrum: Secrets Among Friends,Lionsgate,"Josh Webber (director); Shaun Cairo (Screenplay), Jo Marie Payton, Gary Leroi Gray, Paula Jai Parker, Parker McKenna Posey",[231],
237,NOVEMBER,16,Fantastic Beasts: The Crimes of Grindelwald,Warner Bros. Pictures / Heyday Films,"David Yates (director); J. K. Rowling (screenplay); Eddie Redmayne, Katherine Waterston, Dan Fogler, Alison Sudol, Ezra Miller, Zoë Kravitz, Callum Turner, Claudia Kim, William Nadylam, Kevin Guthrie, Jude Law, Johnny Depp",[232],
238,NOVEMBER,16,Widows,20th Century Fox / Regency Enterprises / Film4 Productions,"Steve McQueen (director/screenplay); Gillian Flynn (screenplay); Viola Davis, Michelle Rodriguez, Elizabeth Debicki, Cynthia Erivo, Colin Farrell, Brian Tyree Henry, Daniel Kaluuya, Carrie Coon, Jacki Weaver, Robert Duvall, Liam Neeson",[43],
239,NOVEMBER,16,Instant Family,Paramount Pictures,"Sean Anders (director/screenplay); John Morris (screenplay); Mark Wahlberg, Rose Byrne, Isabela Moner, Tig Notaro, Margo Martindale, Julie Hagerty, Octavia Spencer",[233],
240,NOVEMBER,21,Ralph Breaks the Internet,Walt Disney Pictures / Walt Disney Animation Studios,"Rich Moore, Phil Johnston (directors); Phil Johnston, Pamela Ribon (screenplay); John C. Reilly, Sarah Silverman, Gal Gadot, Taraji P. Henson, Jack McBrayer, Jane Lynch, Bill Hader, Alfred Molina, Alan Tudyk, Ed O'Neill",[48],
241,NOVEMBER,21,Creed II,Metro-Goldwyn-Mayer / Warner Bros. Pictures,"Steven Caple Jr. (director); Sylvester Stallone, Juel Taylor (screenplay); Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Dolph Lundgren, Florian Munteanu, Wood Harris, Phylicia Rashad",[234],
242,NOVEMBER,21,Green Book,Universal Pictures / DreamWorks Pictures / Participant Media,"Peter Farrelly (director/screenplay); Brian Hayes Currie, Nick Vallelonga (screenplay); Viggo Mortensen, Mahershala Ali, Linda Cardellini",[235],
